#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
13,9,3.4609977549511605e-08,nan,18.384776299774476,129.14964744895389,19.30773759760152,62.166303762663574
13,10,nan,4.180326227950254e-07,18.384776299809975,129.14964744880174,19.307737597617887,62.16630376264457
13,11,1.08653803684479e-05,nan,18.38477632751088,129.14964760432576,19.307737615089128,62.16630379998493
13,12,nan,nan,18.384776299809975,129.14964744881513,19.30773759761788,62.16630376264832
13,13,nan,nan,18.38477629981006,129.14964744881513,19.30773759761834,62.166303762648276
13,14,nan,1.5199642703106206e-05,18.384776299809975,129.14964744880845,19.30773759761788,62.16630376264642
13,15,nan,nan,18.384776299818693,129.14964744880874,19.30773759762168,62.16630376264642
13,16,nan,1.5822035721047023e-05,18.384776299812533,129.1496474487988,19.30773759761631,62.166303762642386
13,17,nan,nan,18.384776299824157,129.14964744881317,19.30773759762271,62.16630376264928
13,18,nan,1.471180834362282e-05,18.384776299817414,129.14964744880845,19.307737597620573,62.16630376264646
13,19,nan,1.1628909769096956e-05,18.384776299809975,129.14964744881541,19.30773759761788,62.16630376264828
13,20,nan,nan,18.38477629980978,129.14964744881604,19.307737597617436,62.16630376264938
14,2,nan,9.298387684403392e-08,19.7989836157004,138.98813674033926,20.7753429775643,66.93894942530471
14,3,nan,nan,19.79898987290963,139.08376779036305,20.794346117920046,66.94165637676977
14,4,2.1051429319443467e-08,1.223296790498456e-07,19.798989878181537,139.08423435695386,20.79376066560561,66.94700878813677
14,5,9.661633215711071e-09,5.755491558841993e-08,19.798989877790806,139.08423570858403,20.793761766721044,66.94697197774073
14,6,2.3602962574818307e-08,nan,19.79898987773653,139.084235711168,20.7937615746887,66.94698024333151
14,7,nan,nan,19.798989879297096,139.08423570057565,20.793761564289607,66.9469802098859
14,8,1.6885588401877916e-08,nan,19.79898987814146,139.08423570880623,20.793761563061256,66.9469802191014
14,9,nan,nan,19.798989878159666,139.0842357091164,20.793761563097465,66.94698021907217
14,10,6.395525586187968e-09,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,11,nan,nan,19.798989908644856,139.08423588134403,20.793761581733563,66.94698026208873
14,12,nan,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,13,nan,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,14,2.5739455089741333e-08,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,15,2.503378953895561e-08,nan,19.798989878181136,139.0842357093215,20.793761563153996,66.94698021922774
14,16,4.8905798640485185e-09,nan,19.798989878172993,139.0842357092417,20.793761563148838,66.94698021920794
14,17,2.995781642501263e-08,nan,19.79898987818114,139.08423570932297,20.793761563154057,66.94698021922929
14,18,nan,nan,19.798989878181136,139.08423570932294,20.793761563153996,66.94698021922929
14,19,nan,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,20,2.0306331050746127e-08,nan,19.79898987818116,139.08423570953192,20.793761563154565,66.946980219264
15,2,nan,8.614114230373023e-08,21.213199567778585,148.94027104232669,22.27930747494679,71.69971804925505
15,3,nan,6.837449572481435e-07,21.213203430778243,149.0184913873233,22.277422116256126,71.73196780864326
15,4,nan,nan,21.21320343528026,149.0188231274499,22.2783590308853,71.73073488472055
15,5,nan,nan,21.21320343595763,149.0188239661384,22.278355829967744,71.73074377691988
15,6,1.9325566117765893e-08,1.4670985611902084e-05,21.213203435807138,149.01882395633046,22.278357544720507,71.7307385007712
