#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
3,4,2.0526100589473625e-09,nan,4.242592927243509,29.76090780466485,4.469357100711639,14.309988785223746
3,5,nan,nan,4.242640066348875,29.801852197675963,4.447318514075067,14.349091679408927
3,6,9.406487278690868e-09,nan,4.242640683854901,29.803705784577183,4.452374144827202,14.343257165432215
3,7,2.7824335092348708e-09,1.181692728664786e-08,4.242640690740038,29.803763470537916,4.452407865946038,14.342373229316449
3,8,1.1205060504076653e-08,nan,4.242640691132579,29.803764760409596,4.452493448579091,14.342328404059309
3,9,nan,2.4418891336261376e-08,4.24264069170645,29.803764804246565,4.452497716654973,14.342300805065957
3,10,1.583141032181575e-08,1.9755804251281997e-08,4.2426406912436825,29.80376479781963,4.452498235788556,14.34230211129746
3,11,nan,nan,4.242640690279626,29.80376478351718,4.452498257934676,14.342302010401138
3,12,nan,nan,4.242640691908621,29.80376479023384,4.452498262748886,14.342302027652147
3,13,1.533393295785159e-08,2.3227073264886704e-08,4.242640690582876,29.803764794175066,4.452498261853264,14.342302030607279
3,14,1.0859079588771449e-08,3.745703556249339e-08,4.242640690688519,29.803764795670045,4.452498261937036,14.342302030801305
3,15,1.8994071678071636e-08,2.7738878881684693e-08,4.242640690713915,29.803764795670848,4.452498262014299,14.34230203081166
3,16,1.705533608089622e-08,2.889980585172353e-08,4.242640690713915,29.803764795670844,4.452498262014295,14.342302030811663
3,17,1.5072267952147724e-08,1.8698571776251042e-08,4.242640690713915,29.80376479567084,4.452498262014294,14.342302030811663
3,18,2.2829548920107355e-08,3.274453806461673e-08,4.242640690713915,29.80376479567084,4.452498262014294,14.34230203081166
3,19,7.784439606644426e-09,2.9510249834754388e-08,4.242640690713915,29.80376479567084,4.452498262014294,14.34230203081166
3,20,6.316356056405689e-09,2.363633082300183e-08,4.242640690713915,29.80376479567084,4.452498262014294,14.342302030811663
4,2,nan,3.9985655114973914e-08,4.807401684983446,31.59895579988808,5.6298463788317745,17.271217526885774
4,3,9.708163039355074e-09,2.8798736571356122e-08,5.739579863440839,40.09338669125892,5.979298872474952,19.169239843018662
4,4,nan,nan,5.653129062897705,39.70531017960696,5.940601418660309,19.128015737452525
4,5,nan,2.080218422676563e-08,5.6569580230490795,39.73894899013004,5.941200348631498,19.128257286194415
4,6,3.936623269201522e-09,nan,5.6568522832844375,39.73833523741082,5.94103967559577,19.128318334627675
4,7,8.419765103927253e-09,2.905673071945773e-08,5.656854275153482,39.738353269433595,5.940980969843473,19.128312240831146
4,8,1.2241741264588252e-08,3.3979668807487e-08,5.656854244112038,39.73835308528529,5.940981560425064,19.128312550619047
4,9,9.776655690464172e-09,nan,5.656854246200028,39.73835309471323,5.940980671178377,19.128311685501263
4,10,nan,1.8165804378902212e-08,5.656854246369241,39.738353071456494,5.940980676715288,19.128311681041527
4,11,1.2044578169143499e-08,nan,5.6568542478568835,39.73835311130739,5.940980681842539,19.12831170597916
4,12,nan,nan,5.656854248135561,39.73835310729922,5.940980678866888,19.128311697980518
4,13,1.1663441714563312e-08,nan,5.656854246637401,39.738353107277824,5.940980678070609,19.128311697895366
4,14,nan,nan,5.656854246637409,39.73835310727781,5.9409806780705985,19.128311697895345
4,15,nan,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
4,16,nan,nan,5.656854246636976,39.7383531072765,5.940980678065658,19.1283116978914
4,17,nan,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
4,18,1.0263682429054803e-08,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
4,19,1.6133468330804772e-09,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
4,20,nan,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
5,2,nan,1.890683031425545e-08,7.064166175952193,47.98970875271077,7.438649310040437,23.250650549917275
5,3,1.0446862028185104e-08,nan,7.07101874496918,49.60581177064332,7.3948163172166455,23.9229685370073
5,4,1.7333195124057428e-08,3.8012741805293716e-08,7.071067570536855,49.67135344625265,7.426561999885961,23.901530710645936
5,5,5.310006766469032e-09,nan,7.071067808884964,49.67291697186621,7.423726545728401,23.907386957480714
5,6,2.6696623079799278e-08,2.722532319741749e-08,7.07106780992633,49.672941064629065,7.424245792913029,23.90625662174848
5,7,1.2098472221016927e-08,nan,7.071067810987286,49.672941320543394,7.424241176415953,23.90623499552622
5,8,1.2957904095928308e-08,nan,7.071067810772306,49.67294133358893,7.424243813073048,23.906231405555392
5,9,nan,nan,7.071067810332864,49.67294132855489,7.424243752940739,23.90623100500176
5,10,nan,nan,7.0710678102614555,49.67294132621504,7.424243766091717,23.906231027863402
5,11,nan,5.7197315955371913e-05,7.071067812696083,49.67294134971482,7.4242437694628975,23.906231032631435
5,12,1.5539746935099155e-08,2.6373719643722397e-08,7.071067809762379,49.67294133175051,7.424243765675091,23.90623102841165
5,13,7.703331013950031e-09,2.5050073674456727e-08,7.071067809765255,49.672941331756725,7.424243765693627,23.90623102841472
5,14,1.3777544273910865e-08,2.802049830916497e-08,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,15,2.333401948594499e-08,nan,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
