#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
3,3,1.996421857283891e-08,nan,4.239238441895013,29.19252131048432,4.333320520194602,14.210062675032944
3,4,nan,nan,4.242592927243509,29.76090780466485,4.469357100711639,14.309988785223746
3,5,nan,nan,4.242640066348875,29.801852197675963,4.447318514075067,14.349091679408927
3,6,nan,nan,4.242640683854901,29.803705784577183,4.452374144827202,14.343257165432215
3,7,1.543623009097822e-08,5.3495297022642205e-09,4.242640690740038,29.803763470537916,4.452407865946038,14.342373229316449
3,8,nan,nan,4.242640691132579,29.803764760409596,4.452493448579091,14.342328404059309
3,9,3.6579334817950893e-09,2.5530244913110387e-08,4.24264069170645,29.803764804246565,4.452497716654973,14.342300805065957
3,10,nan,1.9755804251281997e-08,4.2426406912436825,29.80376479781963,4.452498235788556,14.34230211129746
3,11,4.199897762099701e-09,nan,4.242640691983792,29.80376478351718,4.452498257918403,14.342302010401138
3,12,nan,nan,4.242640691908621,29.80376479023384,4.452498262748886,14.342302027652147
3,13,nan,2.2467235137638858e-08,4.2426406905889165,29.803764794175066,4.452498261857421,14.342302030607279
3,14,1.2634252331815408e-08,3.5989354179242e-08,4.242640690688519,29.803764795670045,4.4524982619369995,14.342302030801305
3,15,1.8498728321298505e-08,2.957252621126971e-08,4.242640690713915,29.803764795670848,4.452498262014299,14.34230203081166
3,16,2.0940915537266796e-08,3.0660261464255375e-08,4.242640690713915,29.803764795670844,4.452498262014295,14.342302030811663
3,17,5.507165683725583e-09,1.704802981183174e-08,4.242640690713915,29.80376479567084,4.452498262014294,14.34230203081166
3,18,nan,4.175148633536545e-08,4.242640690713915,29.80376479567084,4.452498262014294,14.342302030811663
3,19,1.3139949541422372e-08,2.965456808444832e-08,4.242640690713915,29.80376479567084,4.452498262014295,14.34230203081166
3,20,nan,3.414330197234814e-08,4.242640690713915,29.80376479567084,4.452498262014294,14.342302030811663
4,2,nan,2.7546556440540267e-08,4.807401684983446,31.59895579988808,5.6298463788317745,17.271217526885774
4,3,9.708163039355074e-09,3.2425481230529114e-08,5.739579863440839,40.09338669125892,5.979298872474952,19.169239843018662
4,4,nan,nan,5.653129062897705,39.70531017960696,5.940601418660309,19.128015737452525
4,5,nan,3.31425859357775e-08,5.6569580230490795,39.73894899013004,5.941200348631498,19.128257286194415
4,6,3.936623269201522e-09,2.8994847657560078e-08,5.6568522832844375,39.73833523741082,5.94103967559577,19.128318334627675
4,7,8.419765977749434e-09,1.867073557315581e-08,5.656854275153482,39.738353269433595,5.940980969843473,19.128312240831146
4,8,1.2241709377313744e-08,3.433004012849566e-08,5.656854244112038,39.73835308528529,5.940981560425064,19.128312550619047
4,9,9.870153998412504e-09,nan,5.656854246200028,39.73835309471323,5.940980671178375,19.128311685501263
4,10,nan,2.4380733064563097e-08,5.656854246369241,39.738353071456494,5.940980676715288,19.128311681041527
4,11,nan,nan,5.656854246703519,39.73835311130739,5.940980678016597,19.12831170597916
4,12,9.525640057166622e-09,nan,5.656854248135561,39.73835310729922,5.940980678866888,19.128311697980518
4,13,nan,nan,5.656854246637401,39.738353107277824,5.940980678070609,19.128311697895366
4,14,nan,nan,5.656854246637409,39.73835310727781,5.9409806780705985,19.128311697895345
4,15,nan,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
