K,N,h,l2phi,relL2phi,l2u,relL2u,l2divu_f
19,3,0.10526315789473684,3.0278594822063143,0.019699011411448003,9.96726334918716,0.0038857475021010306,1.5106664789950206e-10
19,4,0.10526315789473684,0.35937407713590475,0.0023380589779946758,0.9846440839113618,0.00038386447267184446,2.7144417523791713e-10
19,5,0.10526315789473684,0.037447441286390416,0.00024363005534609863,0.08771963449994895,3.4197586509158424e-05,4.2874436484544365e-10
19,6,0.10526315789473684,0.0034980800275769917,2.27582286385317e-05,0.007420342070409436,2.8928277155614697e-06,6.023501863487615e-10
19,7,0.10526315789473684,0.0002976134883419906,1.9362495312291525e-06,0.0006124156032113096,2.387508302988812e-07,7.801437702075402e-10
19,8,0.10526315789473684,2.432511031428455e-05,1.5825722048258915e-07,6.036417439736782e-05,2.3533033257327505e-08,1.0671917231457237e-09
19,9,0.10526315789473684,6.856077279064794e-06,4.4605089949436464e-08,4.133531053926135e-05,1.611461180963015e-08,1.4370084360673136e-09
19,10,0.10526315789473684,6.6321685657901555e-06,4.314835778473715e-08,4.120578092733755e-05,1.6064114561955635e-08,1.803207149822841e-09
19,11,0.10526315789473684,9.640953248522893e-06,6.272327007774546e-08,8.005285046137083e-05,3.1208683147888e-08,2.265545828632977e-09
19,12,0.10526315789473684,6.631393468798894e-06,4.314331506575842e-08,4.12037648369094e-05,1.6063328587102688e-08,2.7818058266612056e-09
19,13,0.10526315789473684,6.631385108201016e-06,4.314326067237789e-08,4.1203623265166675e-05,1.6063273395218377e-08,3.231766322250863e-09
19,14,0.10526315789473684,6.6314733309458304e-06,4.3143834642493435e-08,4.120372244891327e-05,1.6063312062100356e-08,3.6762917466554988e-09
19,15,0.10526315789473684,6.631505717630285e-06,4.314404534766995e-08,4.120446253742997e-05,1.6063600586342602e-08,4.556623760770954e-09
19,16,0.10526315789473684,6.63129640440638e-06,4.314268357259072e-08,4.120658997387019e-05,1.606442996954879e-08,0.0
19,17,0.10526315789473684,6.63133015168898e-06,4.314290312970985e-08,4.120342011286066e-05,1.6063194196090392e-08,0.0
19,18,0.10526315789473684,6.6314321303040976e-06,4.314356659441643e-08,4.1203478319218724e-05,1.6063216887896813e-08,0.0
19,19,0.10526315789473684,6.631495888961393e-06,4.314398140313692e-08,4.120366020280631e-05,1.606328779539382e-08,0.0
19,20,0.10526315789473684,6.631353171042657e-06,4.3143052891782176e-08,4.1204411728908644e-05,1.6063580778590173e-08,0.0
18,2,0.1111111111111111,24.193837217820786,0.16614407921848526,131.89416082192588,0.054312256493387036,7.05906283690809e-11
18,3,0.1111111111111111,3.3743478335917922,0.023172343796793404,10.88080431963573,0.004480570113033912,1.4588825346324445e-10
18,4,0.1111111111111111,0.41713512001797276,0.002864553059571296,1.1522607071196036,0.00047448559270811866,2.390062917582434e-10
18,5,0.1111111111111111,0.047246810667495115,0.0003244536112105055,0.10280024684052481,4.2331770710640305e-05,3.5985370049673126e-10
18,6,0.1111111111111111,0.004366659409356323,2.9986752423623546e-05,0.009754979697371992,4.016970547519304e-06,5.567357065641981e-10
18,7,0.1111111111111111,0.0004377111292627981,3.0058527665666984e-06,0.0007624601584774922,3.139709251354059e-07,7.746313994398175e-10
18,8,0.1111111111111111,3.093848219851062e-05,2.124609499109477e-07,7.814850489891406e-05,3.21805121333237e-08,9.350686878663719e-10
18,9,0.1111111111111111,6.997572955119162e-06,4.8053779354028717e-08,3.959369806414243e-05,1.630415684349191e-08,1.2473937631398192e-09
18,10,0.1111111111111111,6.339923816800671e-06,4.3537566834657316e-08,3.9367274987684564e-05,1.6210918840171923e-08,1.596384376020575e-09
18,11,0.1111111111111111,9.192593537785086e-06,6.31274392406063e-08,7.546711391282684e-05,3.107635108413179e-08,1.9526073203663488e-09
18,12,0.1111111111111111,6.343076178409617e-06,4.355921475318163e-08,3.937245922782209e-05,1.6213053641123825e-08,2.3458591795427185e-09
18,13,0.1111111111111111,6.343260067278005e-06,4.3560477556036834e-08,3.9372163894925695e-05,1.621293202697563e-08,2.7794573586450604e-09
18,14,0.1111111111111111,6.343090579740183e-06,4.35593136500943e-08,3.937222468458527e-05,1.6212957059346755e-08,3.3704914500019208e-09
18,15,0.1111111111111111,6.34305647310637e-06,4.355907943279264e-08,3.937206969977469e-05,1.6212893238668626e-08,4.0530181506114295e-09
18,16,0.1111111111111111,6.343182256557085e-06,4.355994321373866e-08,3.937302234175114e-05,1.621328552393015e-08,4.724448128745007e-09
18,17,0.1111111111111111,6.342981686575698e-06,4.355856585823377e-08,3.9373610268430256e-05,1.6213527624296055e-08,5.406400165822752e-09
18,18,0.1111111111111111,6.3432602344400246e-06,4.356047870397296e-08,3.9372903868816844e-05,1.6213236738355755e-08,6.446805130644423e-09
18,19,0.1111111111111111,6.3430906571805686e-06,4.355931418189343e-08,3.937249407039624e-05,1.62130679888312e-08,7.342335480703901e-09
18,20,0.1111111111111111,6.343155163424989e-06,4.3559757159602454e-08,3.937282221167738e-05,1.62132031130347e-08,8.450234441042584e-09
17,2,0.11764705882352941,25.592907357685934,0.1860942762425441,142.2543209590252,0.06199082595103912,6.342488067070093e-11
17,3,0.11764705882352941,3.7615522337503724,0.027351458382788196,12.44870507242769,0.005424830010492013,1.2866605713476796e-10
17,4,0.11764705882352941,0.49663090158584794,0.0036111633156264036,1.3767868574801057,0.000599968801498205,2.1324400672752763e-10
17,5,0.11764705882352941,0.057862878444222325,0.00042073963441883376,0.13708185553979785,5.973679667882144e-05,3.179356002286026e-10
17,6,0.11764705882352941,0.006037941742522577,4.390382002582222e-05,0.01294025436683744,5.63903472884913e-06,4.899776996470394e-10
17,7,0.11764705882352941,0.0005741397016499646,4.1747547766812615e-06,0.0011879334999904954,5.176712970323833e-07,6.726927472517468e-10
17,8,0.11764705882352941,5.0823473273013855e-05,3.6955385109982163e-07,0.0001025907430489628,4.4706444441626964e-08,8.60374489654299e-10
17,9,0.11764705882352941,7.269053206258219e-06,5.285562818172446e-08,3.778004644691399e-05,1.6463586258215745e-08,1.1274939158048078e-09
17,10,0.11764705882352941,5.985253027630917e-06,4.352070340187334e-08,3.701980825064206e-05,1.6132293729533962e-08,1.3820511611330205e-09
17,11,0.11764705882352941,8.649410427917768e-06,6.289265033519851e-08,7.145129044818081e-05,3.113666059694692e-08,1.768851976976993e-09
17,12,0.11764705882352941,5.980999581153966e-06,4.348977522194434e-08,3.702563049534753e-05,1.6134830916142763e-08,2.3361540187537177e-09
17,13,0.11764705882352941,5.9809997147121205e-06,4.348977619308872e-08,3.702592816787859e-05,1.6134960634283757e-08,2.7663655262412218e-09
17,14,0.11764705882352941,5.980932636322163e-06,4.3489288444500556e-08,3.702586073090623e-05,1.6134931246961194e-08,2.9403306650959417e-09
17,15,0.11764705882352941,5.980925884658276e-06,4.3489239350976837e-08,3.702480959554941e-05,1.6134473188826182e-08,3.6174971960287496e-09
17,16,0.11764705882352941,5.980852582724442e-06,4.3488706348995725e-08,3.702568263910077e-05,1.613485363906822e-08,4.1407186859532566e-09
17,17,0.11764705882352941,5.980898026790792e-06,4.348903678744567e-08,3.70260136844696e-05,1.613499790024569e-08,4.954340134326799e-09
17,18,0.11764705882352941,5.980993589345628e-06,4.3489731653575166e-08,3.702590922243694e-05,1.6134952378340686e-08,5.780915358417734e-09
17,19,0.11764705882352941,5.980932638330094e-06,4.348928845910087e-08,3.7026037076937604e-05,1.6135008094090085e-08,6.8363574220017624e-09
17,20,0.11764705882352941,5.9809019959351425e-06,4.348906564837323e-08,3.702600432596365e-05,1.6134993822046097e-08,7.167608829573971e-09
16,2,0.125,27.104469991779684,0.20934801303925774,162.6083175970079,0.07552085417163873,5.568429669031212e-11
16,3,0.125,4.278834494245765,0.03304862628805722,14.063242593636097,0.006531449982321894,1.1233711053699092e-10
16,4,0.125,0.5719350863885055,0.004417480731376889,1.7162758059781011,0.0007970970782860427,1.948528790524062e-10
16,5,0.125,0.07760235188455823,0.0005993807729548913,0.16219575923386312,7.532924798297153e-05,2.8498220982728107e-10
16,6,0.125,0.007354640362205163,5.6805366307215594e-05,0.018833596886134094,8.746965376581289e-06,4.5470117450802823e-10
16,7,0.125,0.000907877593463083,7.012214971626528e-06,0.001422207398478685,6.605216702906888e-07,5.614087249098508e-10
16,8,0.125,6.698688262707454e-05,5.173895959568711e-07,0.00017410571150576593,8.086063642613011e-08,8.290760825403507e-10
16,9,0.125,9.324491683893388e-06,7.20199954921159e-08,3.6064454886704766e-05,1.6749564096889658e-08,1.0295680963125097e-09
16,10,0.125,5.645276495232898e-06,4.3602675783465225e-08,3.483267111105667e-05,1.617748165814101e-08,1.2728610476525725e-09
16,11,0.125,8.134185342778092e-06,6.282637290897405e-08,6.751930558690821e-05,3.135827063678466e-08,1.499086351096803e-09
16,12,0.125,5.621220526528291e-06,4.3416873616827345e-08,3.4791708874611584e-05,1.6158457397077195e-08,2.202998645781041e-09
16,13,0.125,5.6212146837375316e-06,4.3416828488601766e-08,3.478975631567811e-05,1.615755056204775e-08,2.3670900068846275e-09
16,14,0.125,5.621213282740855e-06,4.341681766766077e-08,3.4789414683758843e-05,1.615739189652106e-08,2.651708495054607e-09
16,15,0.125,5.621278724265976e-06,4.34173231213095e-08,3.478815181428719e-05,1.6156805376823817e-08,3.2918825503544986e-09
16,16,0.125,5.621252029353144e-06,4.341711693661151e-08,3.478983797334241e-05,1.6157588486654858e-08,3.9389808994578644e-09
16,17,0.125,5.6211883452110925e-06,4.341662505654137e-08,3.4789912772017626e-05,1.615762322571327e-08,4.2207075895522775e-09
16,18,0.125,5.621212079050427e-06,4.341680837066292e-08,3.4789491886697025e-05,1.6157427752201277e-08,5.23517265117395e-09
16,19,0.125,5.6212132795738725e-06,4.3416817643199804e-08,3.478956488764737e-05,1.6157461656334883e-08,6.206081597118252e-09
16,20,0.125,5.621377391364292e-06,4.341808520081119e-08,3.478834965188507e-05,1.6156897259358485e-08,6.4249783320363066e-09
15,2,0.13333333333333333,28.925750991954725,0.23837205353407875,166.58010965715053,0.08228498094384384,4.585867374854817e-11
15,3,0.13333333333333333,4.792973574959278,0.03949805672860112,16.030545410074954,0.007918551178182751,9.755970926397022e-11
15,4,0.13333333333333333,0.7125739758705013,0.005872197474507677,2.0283994573534696,0.0010019612247726053,1.5357486784038667e-10
15,5,0.13333333333333333,0.09413515159984062,0.0007757513159411819,0.22741645924184667,0.00011233609494882772,2.598866833864309e-10
15,6,0.13333333333333333,0.011125779848703523,9.16856053431825e-05,0.02455327576636628,1.2128493808190185e-05,3.5447729013805316e-10
15,7,0.13333333333333333,0.001199340362120677,9.883554106668738e-06,0.002548664045209919,1.2589544623544195e-06,5.061996691721613e-10
15,8,0.13333333333333333,0.0001195609107071339,9.852805486568347e-07,0.0002318209068117268,1.1451174416109962e-07,6.681138826061695e-10
15,9,0.13333333333333333,1.23084310571521e-05,1.0143162705410909e-07,3.9498400111337745e-05,1.9510883425176285e-08,8.863137253164351e-10
15,10,0.13333333333333333,5.371134304538033e-06,4.426257815522824e-08,3.262748690186721e-05,1.61168830029667e-08,1.11615992107529e-09
15,11,0.13333333333333333,7.666546550761748e-06,6.31786689074374e-08,6.300196283912182e-05,3.112085423831012e-08,1.376354940284049e-09
15,12,0.13333333333333333,5.280796241572049e-06,4.351811798244027e-08,3.260652663564673e-05,1.610652933523242e-08,1.687766627302767e-09
15,13,0.13333333333333333,5.2810208757651515e-06,4.3519969153527185e-08,3.2606021712524715e-05,1.6106279920163845e-08,2.1679568917724678e-09
15,14,0.13333333333333333,5.281002589987365e-06,4.351981846363144e-08,3.2606113248827815e-05,1.610632513602408e-08,2.4885987281638292e-09
15,15,0.13333333333333333,5.2811059727531844e-06,4.3520670422918346e-08,3.2606111111187063e-05,1.6106324080101324e-08,2.8420193228179106e-09
15,16,0.13333333333333333,5.280927148359748e-06,4.3519196762376316e-08,3.2606556095988776e-05,1.6106543887652204e-08,3.252893132012042e-09
15,17,0.13333333333333333,5.280815839768484e-06,4.3518279487748497e-08,3.260747841226013e-05,1.6106999480921828e-08,3.9447313500046234e-09
15,18,0.13333333333333333,5.280930426624404e-06,4.351922377798183e-08,3.260714703791869e-05,1.610683579312364e-08,4.5340563774151685e-09
15,19,0.13333333333333333,5.281010331777276e-06,4.351988226236771e-08,3.2606505540854044e-05,1.6106518915113126e-08,5.402231749581164e-09
15,20,0.13333333333333333,5.280964059884129e-06,4.351950094379129e-08,3.2606126871767824e-05,1.610633186529903e-08,5.777933014573802e-09
14,2,0.14285714285714285,30.738780696485495,0.2708293640033347,185.02830703059942,0.09844200608778267,4.0460035729486565e-11
14,3,0.14285714285714285,5.639187859748885,0.04968504367922879,17.955401641367718,0.009552947795148928,8.159485717150925e-11
14,4,0.14285714285714285,0.8151899802689353,0.007182372849400925,2.5560904661047235,0.001359936094446301,1.3654797868077147e-10
14,5,0.14285714285714285,0.13203692874908285,0.001163334284178561,0.26880381471594456,0.0001430137214643059,2.2731422600995474e-10
14,6,0.14285714285714285,0.01430886287575047,0.00012607072058305497,0.03835112279740377,2.0404237192047402e-05,3.1527074684943704e-10
14,7,0.14285714285714285,0.0019048617964273504,1.6783115567744466e-05,0.003079541268627408,1.638431573951883e-06,4.2452526789774824e-10
14,8,0.14285714285714285,0.00018382298979473626,1.6196043657968517e-06,0.00043393505665941125,2.3086974190551071e-07,5.466236113412753e-10
14,9,0.14285714285714285,2.020514998399276e-05,1.7802098182711593e-07,4.3420333357368254e-05,2.3101247529615637e-08,7.717724587795399e-10
14,10,0.14285714285714285,5.187787395275131e-06,4.570790151762658e-08,3.154543082507635e-05,1.6783353548224015e-08,9.952647660741784e-10
14,11,0.14285714285714285,7.108103611703159e-06,6.26271809358878e-08,5.822863701598264e-05,3.097982104253208e-08,1.1509710741833816e-09
14,12,0.14285714285714285,4.885571591315891e-06,4.304517670800537e-08,3.1377379573184896e-05,1.669394397286092e-08,1.3774043914476088e-09
14,13,0.14285714285714285,4.8846141089137585e-06,4.303674064306921e-08,3.137736995406986e-05,1.669393885513058e-08,1.629558486931596e-09
14,14,0.14285714285714285,4.884328505580775e-06,4.3034224285319275e-08,3.137718998000273e-05,1.669384310216988e-08,2.0790009711909345e-09
14,15,0.14285714285714285,4.884308415929181e-06,4.3034047281956064e-08,3.137725591306965e-05,1.6693878181036882e-08,2.3910231641638207e-09
14,16,0.14285714285714285,4.884542665607783e-06,4.303611117941837e-08,3.1376935638519785e-05,1.669370778295189e-08,2.961670613131423e-09
14,17,0.14285714285714285,4.884428533876416e-06,4.303510560198431e-08,3.137863220018162e-05,1.6694610417452108e-08,3.2373959065374916e-09
14,18,0.14285714285714285,4.884354657772517e-06,4.3034454703745e-08,3.137756734217628e-05,1.669404387301398e-08,3.6238622075783e-09
14,19,0.14285714285714285,4.884288889991464e-06,4.303387524529183e-08,3.1377210932303174e-05,1.669385424958035e-08,4.25922364619685e-09
14,20,0.14285714285714285,4.884437147201909e-06,4.303518149118396e-08,3.13771333988193e-05,1.6693812998855996e-08,5.326156081095174e-09
13,2,0.15384615384615385,33.07791061451805,0.3145157537988835,195.23032356163162,0.11128919388909146,3.569067123317649e-11
13,3,0.15384615384615385,6.302690783381074,0.05992807604439004,21.404256025778327,0.012201293095499138,6.747050385293765e-11
13,4,0.15384615384615385,1.0714319958702263,0.010187531061211084,3.040925340760659,0.0017334506426883482,1.2018037996844624e-10
13,5,0.15384615384615385,0.1633766732550529,0.0015534396395464572,0.4078394656888951,0.00023248501843693603,1.9008922297274526e-10
13,6,0.15384615384615385,0.022265055576734513,0.00021170353894774623,0.04788229711798083,2.729484923552784e-05,2.708345156540098e-10
13,7,0.15384615384615385,0.0027700432113035266,2.6338490323999638e-05,0.006055481041789889,3.4518695224040243e-06,3.7014984666604163e-10
13,8,0.15384615384615385,0.0003183076298204276,3.026574601388753e-06,0.000594631234279237,3.3896389411720093e-07,4.851593122076879e-10
13,9,0.15384615384615385,3.4552534133501145e-05,3.285369636947398e-07,7.519503022884574e-05,4.2864213642468896e-08,6.691905186910718e-10
13,10,0.15384615384615385,5.780154701449833e-06,5.4959629530008706e-08,2.897120325568774e-05,1.6514759579879912e-08,8.194564582676993e-10
13,11,0.15384615384615385,6.703277659550228e-06,6.373698903132408e-08,5.4187224418160766e-05,3.088891323114911e-08,9.775392610556383e-10
13,12,0.15384615384615385,4.598828077218073e-06,4.3727183864596295e-08,2.8286900608563288e-05,1.6124679347540335e-08,1.2793841748868993e-09
13,13,0.15384615384615385,4.598659501439006e-06,4.372558099013293e-08,2.8289243459777677e-05,1.6126014867649583e-08,1.4863786198160731e-09
13,14,0.15384615384615385,4.598863731659443e-06,4.372752287885976e-08,2.8289281991417606e-05,1.6126036832245393e-08,1.8781755851255775e-09
