,K,N,l2phi,relL2phi,l1phi,relL1phi,l2u,relL2u,l1u,relL1u
0,1,2,0.9999999993634572,0.0841566644419146,1.6069774838527653,0.006500377723844485,4.442882936322862,0.09383067566215847,7.144423855563686,0.006453436452865959
1,1,3,0.9094374917784593,0.0765352258752142,1.376392681498117,0.00556764012935771,7.273328578520046,0.07002094573618994,12.205217874894672,0.004148484205367099
2,1,4,1.079226253761501,0.09082408175252461,1.499111751832054,0.006064050514136142,7.000469079622055,0.053769637129324276,11.306098685817206,0.003733182159611287
3,1,5,0.8917784708782421,0.0750491015779959,1.4146820662717356,0.005722524355392668,4.662109987551975,0.09846060236404791,7.683031612287625,0.004955956544577404
4,1,6,1.8338755690464739,0.15433285099070873,2.8454422851836023,0.011510086377033095,12.09424213782788,0.08367165127108682,19.467718913326248,0.005017242082661477
5,1,7,1.284204658379551,0.1080743805787854,1.9983962421576322,0.008083704063352144,8.618846220964693,0.09299549981494805,13.714562827005329,0.005219404316372969
6,1,8,1.446489990798137,0.12173177285167443,2.209603972115592,0.008938059545440698,10.152588143081656,0.10325675926323796,16.438998597121188,0.005879443640375294
7,1,9,1.4088574538075647,0.11856474406204494,2.144919782282786,0.00867640580672993,9.882922518084538,0.10325140803978439,16.010738328336437,0.00588653950949002
8,1,10,1.4148970209539318,0.11907301388807971,2.1707847787703916,0.008781032193026424,9.939579724428754,0.10352080317385831,15.996743230172722,0.005912318860892531
9,1,11,1.414144591008636,0.1190096918936171,2.1674974190936998,0.00876773450850542,9.933921915300136,0.10352901252833348,15.99885398139065,0.005915264870860487
10,1,12,1.4142192161161076,0.11901597209374952,2.1698758332524033,0.008777355421412204,9.934631433523952,0.10355129986081611,15.987072207798255,0.0059161933177420585
11,1,13,1.4142131767366943,0.11901546383972247,2.1696605192675547,0.008776484455736078,9.934584502858133,0.10355026066624788,15.987949109144653,0.00591637347905653
12,1,14,1.4142135849330542,0.11901549819216659,2.1698416453296336,0.008777217127992521,9.934588437351177,0.10354959428334422,15.9879077469948,0.005916430744699769
13,1,15,1.414213561263053,0.11901549620017825,2.1698300431788446,0.008777170196182153,9.93458824924528,0.10354962492358813,15.987908725792716,0.0059164391344515566
14,1,16,1.4142135633258843,0.11901549637377924,2.1698318120745146,0.008777177351534436,9.934588261279362,0.10354965117469676,15.987953859157587,0.00591644742325252
15,1,17,1.4142135618262501,0.11901549624757503,2.169831672205529,0.008777176785751002,9.934588270861305,0.10354965033614377,15.98795175384678,0.005916447576686147
16,1,18,1.4142135624417371,0.11901549629937236,2.1698316203413395,0.008777176575955392,9.934588257808267,0.10354964955418977,15.987953233990691,0.005916447789444099
17,1,19,1.4142135626901184,0.1190154963202753,2.169831620025221,0.008777176574676662,9.934588260483505,0.10354964956109837,15.987953184964146,0.005916447797362647
18,1,20,1.4142135638122326,0.11901549641470868,2.169831620094205,0.008777176574955711,9.934588262203615,0.10354964964532103,15.987953185148331,0.005916447810879176
19,2,2,4.079457726347681,0.19233981739580905,14.052834624487767,0.01697846422531543,17.935516751093658,0.06382217278100859,50.821777380415206,0.0036041344436833936
20,2,3,2.1374475546398126,0.10077718656018787,7.4410650375398975,0.008990204461523125,12.132546452820835,0.08142210923579771,37.08400073636435,0.0042258984205583855
21,2,4,3.045265575654075,0.14357933432183048,9.633756134322454,0.01163938723060074,20.934286282146928,0.10046749167816768,67.41310478888091,0.005795021531233485
22,2,5,2.8011041740384397,0.1320675201170781,8.90642345517551,0.010760632715744322,19.61757308812088,0.10275945760592349,62.93852968682405,0.005857383842101637
23,2,6,2.8307299204792487,0.13346432602680405,8.829901449340595,0.010668179757089736,19.883512570001802,0.10497191585879524,64.45788398383453,0.006030204149165062
24,2,7,2.8282912582754958,0.1333493470579253,8.825104526818802,0.010662384173522138,19.867915406299957,0.10491922257375157,64.37197667250406,0.006032734340850809
25,2,8,2.8284330689796144,0.1333560332026937,8.823979751642987,0.010661025233806815,19.869217276477805,0.10490488581344269,64.41389456102841,0.006034820122669621
