K,N,h,l2phi,relL2phi,l1phi,relL1phi,l2u,relL2u,l1u,relL1u
16,8,0.125,3.463851302647062e-07,1.3967142349957865e-09,8.616586824815593e-06,8.883154740439182e-11,201.06192981286503,0.1290322580536822,5170.469266349179,0.005900553912548883
16,9,0.125,3.470226689043074e-07,1.399284955316865e-09,8.628634249122905e-06,8.895574871115214e-11,201.06192981556177,0.12903225804327972,5170.469266423711,0.0059005539122844106
16,10,0.125,3.4702365429740514e-07,1.3992889286761301e-09,8.628654623236189e-06,8.895595875534327e-11,201.0619298155617,0.12903225804328,5170.469266423601,0.005900553912285274
16,11,0.125,4.522798933296455e-07,1.8237092473719776e-09,9.741987420833075e-06,1.0043371406580619e-10,201.0619299792703,0.12903225775214822,5170.469271045221,0.005900553907246803
16,12,0.125,3.470236542974037e-07,1.3992889286761243e-09,8.62865459401327e-06,8.895595845407351e-11,201.0619298155617,0.12903225804328,5170.469266423601,0.005900553912285275
16,13,0.125,3.470236542974037e-07,1.3992889286761243e-09,8.628654596326264e-06,8.895595847791901e-11,201.0619298155617,0.12903225804328003,5170.469266423601,0.005900553912285274
16,14,0.125,3.470236542974037e-07,1.3992889286761243e-09,8.62865459670205e-06,8.895595848179312e-11,201.06192981556174,0.12903225804327992,5170.469266423619,0.005900553912285189
16,15,0.125,3.47023654297404e-07,1.3992889286761256e-09,8.628654606357976e-06,8.89559585813396e-11,201.06192981556174,0.12903225804327992,5170.469266423619,0.005900553912285189
16,16,0.125,3.470268837030508e-07,1.3993019504730891e-09,8.628719659364578e-06,8.895662923659523e-11,201.06192981549898,0.1290322580443086,5170.469266422012,0.0059005539123054935
16,17,0.125,3.4702244351974573e-07,1.3992840465081484e-09,8.628628199547776e-06,8.895568634386787e-11,201.06192981556177,0.12903225804327975,5170.469266423692,0.005900553912285055
16,18,0.125,3.470229839084002e-07,1.3992862254946584e-09,8.628641797042648e-06,8.895582652541944e-11,201.06192981556174,0.12903225804327992,5170.469266423619,0.005900553912285186
16,19,0.125,3.4702365429740376e-07,1.3992889286761245e-09,8.62865459829549e-06,8.895595849822047e-11,201.06192981556174,0.12903225804327992,5170.469266423619,0.005900553912285189
16,20,0.125,3.4702346975321317e-07,1.3992881845463238e-09,8.62863624560473e-06,8.895576929361402e-11,201.06192981556228,0.12903225804327867,5170.469266424007,0.005900553912284661
15,2,0.13333333333333333,0.5561917309342198,0.002392222497526994,11.288568755471063,0.00012896506841625227,188.43346379248922,0.12710498839153922,4542.172722384978,0.005837016364084839
15,3,0.13333333333333333,0.03912744784002798,0.00016829009815825375,0.9474748731994954,1.0824327201411809e-05,188.495296264994,0.12899456974368106,4544.375019366959,0.0058834484283541
15,4,0.13333333333333333,0.0020630161424014574,8.87318770511854e-06,0.041327108243483866,4.721372086681642e-07,188.4955585284815,0.12903225759430323,4544.236216682928,0.005884438454881651
