K,N,h,l2phi,relL2phi,l1phi,relL1phi,l2u,relL2u,l1u,relL1u
20,2,0.1,0.4167781255261073,0.001344445566595002,11.369657445559886,7.426814634414499e-05,251.30078716112567,0.1279345861241347,8078.549953258131,0.005884719751970785
20,3,0.1,0.02204868913492729,7.112480368125152e-05,0.7129334007930134,4.656977784709073e-06,251.32734917387185,0.1290202504037307,8078.893880747024,0.0059115921356062626
20,4,0.1,0.0008722215748242824,2.8136179841030577e-06,0.02350146130490156,1.5351473655658048e-07,251.32741219162065,0.12903225801545393,8078.879691118641,0.005911836563804968
20,5,0.1,2.7540065358544295e-05,8.883892053665884e-08,0.0008814081069271605,5.757477442712753e-09,251.32741226241424,0.12903225805179955,8078.878778363594,0.005911794049887386
20,6,0.1,8.092539612849695e-07,2.6104966500475982e-09,2.3581718343325097e-05,1.5403898642983542e-10,251.32741220433843,0.12903225675561503,8078.878763027181,0.005911793949146807
20,7,0.1,4.029887674632218e-07,1.2999637663795148e-09,1.2761284867043618e-05,8.335844563329736e-11,251.32741220455608,0.12903225802209498,8078.878762810278,0.0059117939814044675
20,8,0.1,4.0096204646820145e-07,1.2934259567163026e-09,1.2677673064081248e-05,8.28122819825242e-11,251.32741220273223,0.1290322580211586,8078.878762774342,0.005911793981580192
20,9,0.1,4.0085039941688713e-07,1.293065804937767e-09,1.2670345177683432e-05,8.276441523350453e-11,251.32741220298607,0.12903225802128893,8078.878762781571,0.00591179398156569
20,10,0.1,4.0085039941629643e-07,1.2930658049358614e-09,1.2670344452115577e-05,8.276441049399678e-11,251.32741220298607,0.12903225802128895,8078.878762781569,0.005911793981565726
20,11,0.1,5.668278487535942e-07,1.8284769319823994e-09,1.4763269601318572e-05,9.643568177130791e-11,251.3274124105296,0.12903225775563518,8078.878770141794,0.005911793976692386
20,12,0.1,4.0085039941629643e-07,1.2930658049358614e-09,1.2670344451639573e-05,8.276441049088746e-11,251.32741220298607,0.12903225802128895,8078.878762781569,0.005911793981565726
20,13,0.1,4.0085039941629643e-07,1.2930658049358614e-09,1.2670344454211772e-05,8.276441050768941e-11,251.32741220298607,0.12903225802128893,8078.878762781569,0.005911793981565725
20,14,0.1,4.0085039941629643e-07,1.2930658049358614e-09,1.267034445441074e-05,8.276441050898909e-11,251.32741220298607,0.12903225802128895,8078.878762781569,0.005911793981565725
20,15,0.1,4.0075882844835506e-07,1.2927704147166118e-09,1.2667343623669323e-05,8.274480867509703e-11,251.32741220298607,0.12903225802128898,8078.878762781569,0.005911793981565725
